lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.29,299.23,0.0,4.016454648971558,0.29,100,100,0,0,964.74
0.0,VERIFY,0.44,913.54,614.31,9.279303200244904,0.44,100,0,100,0,964.74
0.0,SC-3,0.32,964.74,665.51,12.172039568424225,0.32,100,0,0,100,964.74
0.0,Oracle,0.53,445.66,146.43,5.298486309051514,0.53,100,76,21,3,964.74
0.05,STOP,0.29,299.23,0.0,4.016454648971558,0.2744916765138794,100,100,0,0,964.74
0.05,VERIFY,0.44,913.54,614.31,9.279303200244904,0.3926535646910048,100,0,100,0,964.74
0.05,SC-3,0.32,964.74,665.51,12.172039568424225,0.27,100,0,0,100,964.74
0.05,Oracle,0.53,445.66,146.43,5.298486309051514,0.5069025851524763,100,76,21,3,964.74
0.1,STOP,0.29,299.23,0.0,4.016454648971558,0.25898335302775877,100,100,0,0,964.74
0.1,VERIFY,0.44,913.54,614.31,9.279303200244904,0.34530712938200964,100,0,100,0,964.74
0.1,SC-3,0.32,964.74,665.51,12.172039568424225,0.22,100,0,0,100,964.74
0.1,Oracle,0.53,445.66,146.43,5.298486309051514,0.4838051703049526,100,76,21,3,964.74
0.2,STOP,0.29,299.23,0.0,4.016454648971558,0.22796670605551753,100,100,0,0,964.74
0.2,VERIFY,0.44,913.54,614.31,9.279303200244904,0.2506142587640193,100,0,100,0,964.74
0.2,SC-3,0.32,964.74,665.51,12.172039568424225,0.11999999999999998,100,0,0,100,964.74
0.2,Oracle,0.53,445.66,146.43,5.298486309051514,0.4376103406099052,100,76,21,3,964.74
