example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.0,STOP,1,278,1.0,947.7
gsm8k-test-0,0.05,STOP,1,278,0.9853329112588372,947.7
gsm8k-test-0,0.1,STOP,1,278,0.9706658225176744,947.7
gsm8k-test-0,0.2,STOP,1,278,0.9413316450353487,947.7
gsm8k-test-1,0.0,VERIFY,1,896,1.0,947.7
gsm8k-test-1,0.05,VERIFY,1,896,0.9527276564313601,947.7
gsm8k-test-1,0.1,VERIFY,1,896,0.9054553128627203,947.7
gsm8k-test-1,0.2,VERIFY,1,896,0.8109106257254406,947.7
gsm8k-test-2,0.0,STOP,0,309,0.0,947.7
gsm8k-test-2,0.05,STOP,0,309,-0.016302627413738526,947.7
gsm8k-test-2,0.1,STOP,0,309,-0.03260525482747705,947.7
gsm8k-test-2,0.2,STOP,0,309,-0.0652105096549541,947.7
gsm8k-test-3,0.0,STOP,1,280,1.0,947.7
gsm8k-test-3,0.05,STOP,1,280,0.9852273926348001,947.7
gsm8k-test-3,0.1,STOP,1,280,0.9704547852696,947.7
gsm8k-test-3,0.2,STOP,1,280,0.9409095705392002,947.7
gsm8k-test-4,0.0,STOP,0,314,0.0,947.7
gsm8k-test-4,0.05,STOP,0,314,-0.016566423973831384,947.7
gsm8k-test-4,0.1,STOP,0,314,-0.03313284794766277,947.7
gsm8k-test-4,0.2,STOP,0,314,-0.06626569589532554,947.7
gsm8k-test-5,0.0,VERIFY,1,916,1.0,947.7
gsm8k-test-5,0.05,VERIFY,1,916,0.9516724701909887,947.7
gsm8k-test-5,0.1,VERIFY,1,916,0.9033449403819774,947.7
gsm8k-test-5,0.2,VERIFY,1,916,0.8066898807639549,947.7
gsm8k-test-6,0.0,STOP,1,279,1.0,947.7
gsm8k-test-6,0.05,STOP,1,279,0.9852801519468186,947.7
gsm8k-test-6,0.1,STOP,1,279,0.9705603038936372,947.7
gsm8k-test-6,0.2,STOP,1,279,0.9411206077872745,947.7
gsm8k-test-7,0.0,VERIFY,1,906,1.0,947.7
gsm8k-test-7,0.05,VERIFY,1,906,0.9522000633111745,947.7
gsm8k-test-7,0.1,VERIFY,1,906,0.9044001266223488,947.7
gsm8k-test-7,0.2,VERIFY,1,906,0.8088002532446977,947.7
gsm8k-test-8,0.0,STOP,1,256,1.0,947.7
gsm8k-test-8,0.05,STOP,1,256,0.9864936161232457,947.7
gsm8k-test-8,0.1,STOP,1,256,0.9729872322464915,947.7
gsm8k-test-8,0.2,STOP,1,256,0.9459744644929831,947.7
gsm8k-test-9,0.0,STOP,0,303,0.0,947.7
gsm8k-test-9,0.05,STOP,0,303,-0.0159860715416271,947.7
gsm8k-test-9,0.1,STOP,0,303,-0.0319721430832542,947.7
gsm8k-test-9,0.2,STOP,0,303,-0.0639442861665084,947.7
