lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.25333333333333335,299.68,0.0,4.094645086129506,0.25333333333333335,300,300,0,0,966.53
0.0,VERIFY,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.37,300,0,300,0,966.53
0.0,SC-3,0.2866666666666667,966.53,666.85,12.408002511660259,0.2866666666666667,300,0,0,300,966.53
0.0,Oracle,0.47333333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.47333333333333333,300,234,57,9,966.53
0.05,STOP,0.25333333333333335,299.68,0.0,4.094645086129506,0.2378304518914743,300,300,0,0,966.53
0.05,VERIFY,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.3226058856596967,300,0,300,0,966.53
0.05,SC-3,0.2866666666666667,966.53,666.85,12.408002511660259,0.23666666666666666,300,0,0,300,966.53
0.05,Oracle,0.47333333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.4507966988436296,300,234,57,9,966.53
0.1,STOP,0.25333333333333335,299.68,0.0,4.094645086129506,0.22232757044961532,300,300,0,0,966.53
0.1,VERIFY,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.27521177131939345,300,0,300,0,966.53
0.1,SC-3,0.2866666666666667,966.53,666.85,12.408002511660259,0.18666666666666668,300,0,0,300,966.53
0.1,Oracle,0.47333333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.4282600643539259,300,234,57,9,966.53
0.2,STOP,0.25333333333333335,299.68,0.0,4.094645086129506,0.19132180756589723,300,300,0,0,966.53
0.2,VERIFY,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.18042354263878685,300,0,300,0,966.53
0.2,SC-3,0.2866666666666667,966.53,666.85,12.408002511660259,0.08666666666666664,300,0,0,300,966.53
0.2,Oracle,0.47333333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.3831867953745185,300,234,57,9,966.53
